model,dataset,note_key,num_chunks,input_tokens,output_tokens,total_tokens,wall_clock_sec,source
o3-mini,CORAL-Breast,coral_annotated_breastca_29,9,82944,289120,372064,1578.34,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_30,5,50651,167804,218455,1025.51,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_31,6,55191,199043,254234,1036.8,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_32,12,111113,418424,529537,2819.03,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_33,6,60702,202479,263181,1602.56,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_34,10,93626,326961,420587,1985.97,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_35,5,43522,158381,201903,975.53,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_36,7,66160,231162,297322,1168.04,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_37,5,48638,168288,216926,863.26,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_38,7,72990,262877,335867,1478.16,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_39,4,38122,125246,163368,748.67,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_0,5,50512,179604,230116,1369.74,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_1,6,59468,201436,260904,1750.75,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_10,7,59343,203931,263274,1656.51,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_11,12,124398,467413,591811,2739.7,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_12,11,102570,380624,483194,3391.54,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_13,7,64968,223252,288220,1194.88,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_14,9,89721,325642,415363,2252.5,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_15,8,74033,267668,341701,1450.74,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_16,4,37953,131007,168960,562.51,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_17,9,79276,268680,347956,1396.19,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_18,4,44979,150848,195827,1970.41,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_19,6,60674,186967,247641,1715.5,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_2,8,83761,262822,346583,2447.28,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_3,4,38937,154275,193212,1012.64,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_4,5,55612,188910,244522,1717.71,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_5,5,51456,184340,235796,1021.8,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_6,6,58939,204127,263066,878.26,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_7,8,76586,261933,338519,1073.15,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_8,6,64875,224133,289008,1064.09,slurm_log
o3-mini,CORAL-Pancreas,coral_annotated_pdac_9,10,102591,368372,470963,2021.31,slurm_log
o3-mini,4CE,4CE_UPMC_Note3,7,59893,189742,249635,711.67,slurm_log
o3-mini,4CE,4CE_UPMC_Note4,4,35348,101131,136479,361.87,slurm_log
o3-mini,4CE,4CE_UPMC_Note5,6,54831,160258,215089,641.83,slurm_log
o3-mini,4CE,4CE_UPMC_Note6,6,57972,157641,215613,710.18,slurm_log
o3-mini,4CE,4CE_UPMC_Note7,4,46102,132251,178353,539.68,slurm_log
o3-mini,4CE,4CE_d18395bd05b9c997c1aceffdbcf8e5e3c,6,58893,188070,246963,927.85,slurm_log
o3-mini,4CE,4CE_d30982c684512d4f0b6fd79836539d9ac,5,55583,173427,229010,643.65,slurm_log
o3-mini,4CE,4CE_d34f60de6187c4ebefd6d31bcaca64630,3,37055,121940,158995,401.36,slurm_log
o3-mini,4CE,4CE_d3f613256b944611d228c7d204b0de699,4,36441,103722,140163,479.76,slurm_log
o3-mini,4CE,4CE_d54bcf6fe1fa225b13277b3b115fdcc3d,5,52466,137457,189923,551.95,slurm_log
o3-mini,4CE,4CE_db9f975c029e3459d2e59d3b379f0d00d,2,24223,78143,102366,321.05,slurm_log
o3-mini,4CE,4CE_dff4a5b3e1c4cd860f8e2b5c95bd14b51,7,68200,212739,280939,775.26,slurm_log
o3-mini,4CE,4CE_report01,10,104947,340519,445466,1363.75,slurm_log
o3-mini,4CE,4CE_report02,8,82859,256729,339588,1719.56,slurm_log
o3-mini,4CE,4CE_report03,6,63720,188208,251928,1657.36,slurm_log
o3-mini,4CE,4CE_report04,6,57982,182954,240936,1210.16,slurm_log
o3-mini,4CE,4CE_report05,11,117336,340791,458127,1539.84,slurm_log
o3-mini,4CE,4CE_report06,15,155980,453305,609285,2520.46,slurm_log
gpt-4o,OTHER:Test,Test_note6,1,9214,10544,19758,54.94,slurm_log
gpt-4o,OTHER:Test,Test_note7,1,7332,5229,12561,19.07,slurm_log
gpt-4o,OTHER:Test,Test_note8,1,7782,9478,17260,63.52,slurm_log
gpt-4o,OTHER:Test,Test_note9,1,7217,8097,15314,25.36,slurm_log
o3-mini,OTHER:Test,Test_note6,1,11844,28696,40540,225.53,slurm_log
o3-mini,OTHER:Test,Test_note7,1,7337,22511,29848,88.85,slurm_log
o3-mini,OTHER:Test,Test_note8,1,7767,23171,30938,79.05,slurm_log
o3-mini,OTHER:Test,Test_note9,1,7222,22960,30182,85.61,slurm_log
o3-mini,4CE,4CE_report07,7,67458,183541,250999,1652.77,slurm_log
